variable,M0_coef,M0_se,M0_t,M0_p,M1_coef,M1_se,M1_t,M1_p,M2_coef,M2_se,M2_t,M2_p,M3_coef,M3_se,M3_t,M3_p,M4_coef,M4_se,M4_t,M4_p,M5_coef,M5_se,M5_t,M5_p,M6_coef,M6_se,M6_t,M6_p
leverage,38.44531509471009,20.33704302282457,1.8904083082069665,0.058723506054559005,38.44531509471009,20.33704302282457,1.8904083082069665,0.058723506054559005,38.44531509471009,20.33704302282457,1.8904083082069665,0.058723506054559005,44.40202356077129,22.577777793801232,1.9666250578904156,0.049248269353372454,38.44531509471009,20.33704302282457,1.8904083082069665,0.058723506054559005,42.974440321418626,22.45788048388446,1.9135572634406277,0.05569928476724173,39.89673412978308,20.45753488349332,1.9502219772322014,0.05116911653407863
log_assets,12.712280150748473,7.238163043198993,1.7562854103836445,0.07906101903118445,12.712280150748473,7.238163043198993,1.7562854103836445,0.07906101903118445,12.712280150748473,7.238163043198993,1.7562854103836445,0.07906101903118445,10.999261563517685,7.716588628666307,1.4254046824080522,0.15406491664026212,12.712280150748473,7.238163043198993,1.7562854103836445,0.07906101903118445,11.023913153136759,7.716414857276455,1.428631476797983,0.15313486047286928,12.69493277754907,7.238117361176447,1.75389982561511,0.07946902487363583
cash_to_assets,-44.719136001169815,28.633471085186425,-1.5617783770653406,0.11836226199259947,-44.719136001169815,28.633471085186425,-1.5617783770653406,0.11836226199259947,-44.719136001169815,28.633471085186425,-1.5617783770653406,0.11836226199259947,-44.60440275997561,29.405535645459526,-1.5168709489861962,0.1293242456877064,-44.719136001169815,28.633471085186425,-1.5617783770653406,0.11836226199259947,-44.81218533454618,29.406227520940458,-1.5239011975485461,0.12755838012501153,-44.4985109276018,28.64357264195328,-1.5535251654476343,0.1203197807869516
current_ratio,3.0642209570119525,3.605461703679293,0.8498830964935735,0.39540426521668626,3.0642209570119525,3.605461703679293,0.8498830964935735,0.39540426521668626,3.0642209570119525,3.605461703679293,0.8498830964935735,0.39540426521668626,2.538233009786094,3.9288779686850384,0.6460452653447057,0.5182617547222961,3.0642209570119525,3.605461703679293,0.8498830964935735,0.39540426521668626,2.568610286594258,3.928406004091018,0.653855605535508,0.5132167176650402,3.030710388552355,3.6062412646023305,0.8404069961432709,0.4006942338904169
interest_coverage,0.022409911798136884,0.022732455567354915,0.9858113098137439,0.32424233798520596,0.022409911798136884,0.022732455567354915,0.9858113098137439,0.32424233798520596,0.022409911798136884,0.022732455567354915,0.9858113098137439,0.32424233798520596,0.019717536487548763,0.0247183879726831,0.7976869895131956,0.4250671216640822,0.022409911798136884,0.022732455567354915,0.9858113098137439,0.32424233798520596,0.019455901583890982,0.02470771337372175,0.7874424188757018,0.43103766964674106,0.022575183419728667,0.022750390297423678,0.9922987309050758,0.32106855831199765
residual_maturity_mean,3.920571907535512,0.843037949540711,4.650528377365988,3.3403957928612726e-06,3.920571907535512,0.843037949540711,4.650528377365988,3.3403957928612726e-06,3.920571907535512,0.843037949540711,4.650528377365988,3.3403957928612726e-06,3.966004620742575,0.887984433697097,4.466299712293639,8.027351461992183e-06,3.920571907535512,0.843037949540711,4.650528377365988,3.3403957928612726e-06,3.9691764738125537,0.8871649761777769,4.474000417502031,7.743903774004579e-06,3.918304268198434,0.8439907930133184,4.6425912470073625,3.471166218460553e-06
rollover_12m,0.8611998144847687,13.174830988521517,0.06536704836935542,0.9478826702243719,0.8611998144847687,13.174830988521517,0.06536704836935542,0.9478826702243719,0.8611998144847687,13.174830988521517,0.06536704836935542,0.9478826702243719,-1.2110291557578106,14.236060571896022,-0.08506771586435588,0.9322089018155764,0.8611998144847687,13.174830988521517,0.06536704836935542,0.9478826702243719,-1.2583507045991396,14.207120320206199,-0.08857183413935331,0.9294235945960068,0.900033138411082,13.195582871283133,0.06820715289278943,0.9456216836120903
ivol_252,217.1053785726594,36.116079346979305,6.011321895902794,1.884784772698822e-09,217.1053785726594,36.116079346979305,6.011321895902794,1.884784772698822e-09,217.1053785726594,36.116079346979305,6.011321895902794,1.884784772698822e-09,232.1077180735502,38.012270815337075,6.10612607705352,1.050674214297942e-09,217.1053785726594,36.116079346979305,6.011321895902794,1.884784772698822e-09,232.44322733013337,38.08091979755622,6.103928911534591,1.0651846071851878e-09,216.7690525145895,36.044972310325306,6.013849883094366,1.8556900460708903e-09
mkt_ret_x_leverage,,,,,,,,,,,,,-118.03903647340846,39.49938050366412,-2.9883769053658624,0.002810017143926258,,,,,,,,,-120.51264729832181,39.13042858491748,-3.0797681409697737,0.0020755338232298914
mkt_ret_x_market_power,,,,,,,,,,,,,57.55494401002453,52.59041098100836,1.0943999663894808,0.27380042639461255,,,,,,,,,,,,
credit_level_x_rollover,,,,,,,,,,,,,,,,,,,,,-1.8836417010900448,13.843312911167862,-0.1360687079153176,0.8917691290163137,0.1442115557348334,14.401137607060791,0.010013900267443272,0.9920103363593278
credit_level_x_market_power,,,,,,,,,,,,,,,,,,,,,16.46360507945601,14.501675002275828,1.1352898942275484,0.2562753744996844,,,,
