model,dep_var,time_fe,rhs_vars,battery,n_obs,n_firms,n_time
M4_level,oas_mean,False,leverage | log_assets | cash_to_assets | current_ratio | interest_coverage | residual_maturity_mean | rollover_12m | ivol_252 | policy_rate | term_spread_10y_2y | move_eom | credit_market_level_log | credit_curve_level | credit_curve_change,level,15706,170,109
M5_level,oas_mean,False,leverage | log_assets | cash_to_assets | current_ratio | interest_coverage | residual_maturity_mean | rollover_12m | ivol_252 | policy_rate | term_spread_10y_2y | move_eom | credit_market_level_log | credit_curve_level | credit_curve_change | credit_market_level_log_x_rollover | credit_market_level_log_x_market_power,level,13969,168,108
M6_level,oas_mean,False,leverage | log_assets | cash_to_assets | current_ratio | interest_coverage | residual_maturity_mean | rollover_12m | ivol_252 | policy_rate | term_spread_10y_2y | move_eom | mkt_ret | credit_market_level_log | credit_curve_level | credit_curve_change | mkt_ret_x_leverage | credit_market_level_log_x_rollover,level,15706,170,109
