model,dep_var,time_fe,rhs_vars,battery,n_obs,n_firms,n_time
M4_lag_covid,oas_mean,False,leverage | log_assets | cash_to_assets | current_ratio | interest_coverage | residual_maturity_mean | rollover_12m | ivol_252 | policy_rate | term_spread_10y_2y | move_eom | covid_dummy | credit_tightening_shock_l1 | credit_curve_shock_l1,lag_covid,15706,170,109
M5_lag_covid,oas_mean,False,leverage | log_assets | cash_to_assets | current_ratio | interest_coverage | residual_maturity_mean | rollover_12m | ivol_252 | policy_rate | term_spread_10y_2y | move_eom | covid_dummy | credit_tightening_shock_l1 | credit_curve_shock_l1 | credit_tightening_shock_l1_x_rollover | credit_tightening_shock_l1_x_market_power,lag_covid,13969,168,108
M6_lag_covid,oas_mean,False,leverage | log_assets | cash_to_assets | current_ratio | interest_coverage | residual_maturity_mean | rollover_12m | ivol_252 | policy_rate | term_spread_10y_2y | move_eom | covid_dummy | mkt_ret | credit_tightening_shock_l1 | credit_curve_shock_l1 | mkt_ret_x_leverage | credit_tightening_shock_l1_x_rollover,lag_covid,15706,170,109
