model,dep_var,time_fe,rhs_vars,battery,n_obs,n_firms,n_time
M4_shock,oas_mean,False,leverage | log_assets | cash_to_assets | current_ratio | interest_coverage | residual_maturity_mean | rollover_12m | ivol_252 | policy_rate | term_spread_10y_2y | move_eom | credit_tightening_shock | credit_curve_shock,shock,15706,170,109
M5_shock,oas_mean,False,leverage | log_assets | cash_to_assets | current_ratio | interest_coverage | residual_maturity_mean | rollover_12m | ivol_252 | policy_rate | term_spread_10y_2y | move_eom | credit_tightening_shock | credit_curve_shock | credit_tightening_shock_x_rollover | credit_tightening_shock_x_market_power,shock,13969,168,108
M6_shock,oas_mean,False,leverage | log_assets | cash_to_assets | current_ratio | interest_coverage | residual_maturity_mean | rollover_12m | ivol_252 | policy_rate | term_spread_10y_2y | move_eom | mkt_ret | credit_tightening_shock | credit_curve_shock | mkt_ret_x_leverage | credit_tightening_shock_x_rollover,shock,15706,170,109
