model,dep_var,time_fe,rhs_vars,battery,n_obs,n_firms,n_time
M0,oas_mean,True,leverage | log_assets | cash_to_assets | current_ratio | interest_coverage | residual_maturity_mean | rollover_12m | ivol_252,main_covid,15706,170,109
M1_covid,oas_mean,False,leverage | log_assets | cash_to_assets | current_ratio | interest_coverage | residual_maturity_mean | rollover_12m | ivol_252 | policy_rate | term_spread_10y_2y | move_eom | covid_dummy,main_covid,15706,170,109
M2_covid,oas_mean,False,leverage | log_assets | cash_to_assets | current_ratio | interest_coverage | residual_maturity_mean | rollover_12m | ivol_252 | policy_rate | term_spread_10y_2y | move_eom | covid_dummy | mkt_ret,main_covid,15706,170,109
M3_covid,oas_mean,False,leverage | log_assets | cash_to_assets | current_ratio | interest_coverage | residual_maturity_mean | rollover_12m | ivol_252 | policy_rate | term_spread_10y_2y | move_eom | covid_dummy | mkt_ret | mkt_ret_x_leverage | mkt_ret_x_market_power,main_covid,13969,168,108
M4_covid,oas_mean,False,leverage | log_assets | cash_to_assets | current_ratio | interest_coverage | residual_maturity_mean | rollover_12m | ivol_252 | policy_rate | term_spread_10y_2y | move_eom | covid_dummy | credit_level | credit_slope,main_covid,15706,170,109
M5_covid,oas_mean,False,leverage | log_assets | cash_to_assets | current_ratio | interest_coverage | residual_maturity_mean | rollover_12m | ivol_252 | policy_rate | term_spread_10y_2y | move_eom | covid_dummy | credit_level | credit_slope | credit_level_x_rollover | credit_level_x_market_power,main_covid,13969,168,108
M6_covid,oas_mean,False,leverage | log_assets | cash_to_assets | current_ratio | interest_coverage | residual_maturity_mean | rollover_12m | ivol_252 | policy_rate | term_spread_10y_2y | move_eom | covid_dummy | mkt_ret | credit_level | credit_slope | mkt_ret_x_leverage | credit_level_x_rollover,main_covid,15706,170,109
