model,dep_var,time_fe,rhs_vars,battery,n_obs,n_firms,n_time
M6_baseline,oas_mean,False,leverage | log_assets | cash_to_assets | current_ratio | interest_coverage | residual_maturity_mean | rollover_12m | ivol_252 | policy_rate | term_spread_10y_2y | move_eom | mkt_ret | credit_level | credit_slope | mkt_ret_x_leverage | credit_level_x_rollover,m6_time_fe_compare,15706,170,109
M6_time_fe,oas_mean,True,leverage | log_assets | cash_to_assets | current_ratio | interest_coverage | residual_maturity_mean | rollover_12m | ivol_252 | mkt_ret_x_leverage | credit_level_x_rollover,m6_time_fe_compare,15706,170,109
