,n_obs,n_firms,n_time,model_base,dep_var,rhs_vars,time_fe,firm_fe,battery,subsample_start,subsample_end
M6_pre,4111,141,37,M6,oas_mean,leverage | log_assets | cash_to_assets | current_ratio | interest_coverage | residual_maturity_mean | rollover_12m | ivol_252 | policy_rate | term_spread_10y_2y | move_eom | mkt_ret | credit_level | credit_slope | mkt_ret_x_leverage | credit_level_x_rollover,False,True,subsamples_m6,,2019-12-31
M6_covid,3690,162,24,M6,oas_mean,leverage | log_assets | cash_to_assets | current_ratio | interest_coverage | residual_maturity_mean | rollover_12m | ivol_252 | policy_rate | term_spread_10y_2y | move_eom | mkt_ret | credit_level | credit_slope | mkt_ret_x_leverage | credit_level_x_rollover,False,True,subsamples_m6,2020-01-01,2021-12-31
M6_post,7905,170,48,M6,oas_mean,leverage | log_assets | cash_to_assets | current_ratio | interest_coverage | residual_maturity_mean | rollover_12m | ivol_252 | policy_rate | term_spread_10y_2y | move_eom | mkt_ret | credit_level | credit_slope | mkt_ret_x_leverage | credit_level_x_rollover,False,True,subsamples_m6,2022-01-01,
