,n_obs,n_firms,n_time,dep_var,rhs_vars,time_fe,firm_fe,battery
M4_shock,15706,170,109,oas_mean,leverage | log_assets | cash_to_assets | current_ratio | interest_coverage | residual_maturity_mean | rollover_12m | ivol_252 | policy_rate | term_spread_10y_2y | move_eom | credit_tightening_shock | credit_curve_shock,False,True,shock
M5_shock,13969,168,108,oas_mean,leverage | log_assets | cash_to_assets | current_ratio | interest_coverage | residual_maturity_mean | rollover_12m | ivol_252 | policy_rate | term_spread_10y_2y | move_eom | credit_tightening_shock | credit_curve_shock | credit_tightening_shock_x_rollover | credit_tightening_shock_x_market_power,False,True,shock
M6_shock,15706,170,109,oas_mean,leverage | log_assets | cash_to_assets | current_ratio | interest_coverage | residual_maturity_mean | rollover_12m | ivol_252 | policy_rate | term_spread_10y_2y | move_eom | mkt_ret | credit_tightening_shock | credit_curve_shock | mkt_ret_x_leverage | credit_tightening_shock_x_rollover,False,True,shock
