,n_obs,n_firms,n_time,dep_var,rhs_vars,time_fe,firm_fe,battery
M4_lag,15706,170,109,oas_mean,leverage | log_assets | cash_to_assets | current_ratio | interest_coverage | residual_maturity_mean | rollover_12m | ivol_252 | policy_rate | term_spread_10y_2y | move_eom | credit_tightening_shock_l1 | credit_curve_shock_l1,False,True,lag
M5_lag,13969,168,108,oas_mean,leverage | log_assets | cash_to_assets | current_ratio | interest_coverage | residual_maturity_mean | rollover_12m | ivol_252 | policy_rate | term_spread_10y_2y | move_eom | credit_tightening_shock_l1 | credit_curve_shock_l1 | credit_tightening_shock_l1_x_rollover | credit_tightening_shock_l1_x_market_power,False,True,lag
M6_lag,15706,170,109,oas_mean,leverage | log_assets | cash_to_assets | current_ratio | interest_coverage | residual_maturity_mean | rollover_12m | ivol_252 | policy_rate | term_spread_10y_2y | move_eom | mkt_ret | credit_tightening_shock_l1 | credit_curve_shock_l1 | mkt_ret_x_leverage | credit_tightening_shock_l1_x_rollover,False,True,lag
