variable,M0,M1_covid,M2_covid,M3_covid,M4_covid,M5_covid,M6_covid,M4_shock_covid,M5_shock_covid,M6_shock_covid,M4_lag_covid,M5_lag_covid,M6_lag_covid,M4_level_covid,M5_level_covid,M6_level_covid
,,,,,,,,,(15.8800),(16.0681),,,,,,
credit_tightening_shock_x_market_power,,,,,,,,,15.0914,,,,,,,
,,,,,,,,,(15.3092),,,,,,,
credit_tightening_shock_l1,,,,,,,,,,,15.4974***,11.5165***,11.0205***,,,
,,,,,,,,,,,(1.4528),(2.2347),(1.9608),,,
credit_curve_shock_l1,,,,,,,,,,,-0.9088***,3.2282**,-0.9116***,,,
,,,,,,,,,,,(0.2469),(1.2695),(0.2459),,,
credit_tightening_shock_l1_x_rollover,,,,,,,,,,,,23.2420*,21.7398,,,
,,,,,,,,,,,,(13.6355),(14.0899),,,
credit_tightening_shock_l1_x_market_power,,,,,,,,,,,,-4.6627,,,,
,,,,,,,,,,,,(16.5179),,,,
credit_market_level_log,,,,,,,,,,,,,,-23.8562***,-8.8103*,-20.4297***
,,,,,,,,,,,,,,(2.7149),(4.7481),(5.0457)
credit_curve_level,,,,,,,,,,,,,,7.5871***,-21.5819***,6.8131***
,,,,,,,,,,,,,,(2.2185),(4.0412),(2.2255)
credit_curve_change,,,,,,,,,,,,,,-2.3930**,10.1835***,-2.2338*
,,,,,,,,,,,,,,(1.1509),(1.9550),(1.1501)
credit_market_level_log_x_rollover,,,,,,,,,,,,,,,-71.1388,-61.4645
,,,,,,,,,,,,,,,(44.2987),(48.0204)
credit_market_level_log_x_market_power,,,,,,,,,,,,,,,11.7179***,
,,,,,,,,,,,,,,,(2.3876),
Observaciones,15706,15706,15706,13969,15706,13969,15706,15706,13969,15706,15706,13969,15706,15706,13969,15706
Firmas,170,170,170,168,170,168,170,170,168,170,170,168,170,170,168,170
Periodos,109,109,109,108,109,108,109,109,108,109,109,108,109,109,108,109
