variable,vif,severity
term_spread_10y_2y,2.651813405849633,Bajo
policy_rate,2.370739562552045,Bajo
move_eom,2.191355824321874,Bajo
mkt_ret,1.137051074907765,Bajo
credit_level,1.0353573224822994,Bajo
credit_slope,1.0030683247719074,Bajo
