,n_obs,n_firms,n_time,dep_var,rhs_vars,time_fe,firm_fe,battery
M4_level,15706,170,109,oas_mean,leverage | log_assets | cash_to_assets | current_ratio | interest_coverage | residual_maturity_mean | rollover_12m | ivol_252 | policy_rate | term_spread_10y_2y | move_eom | credit_market_level_log | credit_curve_level | credit_curve_change,False,True,level
M5_level,13969,168,108,oas_mean,leverage | log_assets | cash_to_assets | current_ratio | interest_coverage | residual_maturity_mean | rollover_12m | ivol_252 | policy_rate | term_spread_10y_2y | move_eom | credit_market_level_log | credit_curve_level | credit_curve_change | credit_market_level_log_x_rollover | credit_market_level_log_x_market_power,False,True,level
M6_level,15706,170,109,oas_mean,leverage | log_assets | cash_to_assets | current_ratio | interest_coverage | residual_maturity_mean | rollover_12m | ivol_252 | policy_rate | term_spread_10y_2y | move_eom | mkt_ret | credit_market_level_log | credit_curve_level | credit_curve_change | mkt_ret_x_leverage | credit_market_level_log_x_rollover,False,True,level
