variable,M6_baseline_coef,M6_baseline_se,M6_baseline_pval,M6_time_fe_coef,M6_time_fe_se,M6_time_fe_pval
leverage,26.71574463889098,18.6280029969585,0.1515435727246741,30.469752115691975,19.299432136487248,0.11440472796822121
log_assets,0.5791351187573129,6.327183876631329,0.927071649099968,12.797813987850157,6.0987727469067945,0.0358838926824816
cash_to_assets,-91.98193240756447,33.971657166218485,0.006784421412485919,-45.40202314625003,30.34674116852777,0.13464580232000944
current_ratio,7.060510360556747,4.070421828390439,0.08283342083774703,5.504344656571744,3.6630990776845263,0.13295059000079745
interest_coverage,0.025379474724275725,0.028217427271105332,0.36843999552337814,0.009441790534955627,0.022773663380209905,0.6784459914872687
residual_maturity_mean,6.561757807730209,0.8781689005019572,8.304468224196171e-14,4.018088810397306,1.0146648233915778,7.528147302804378e-05
rollover_12m,21.409499228963192,14.79417102187116,0.1478729442918565,-2.7650788850334984,13.760085310085493,0.840740904308225
ivol_252,257.11680006949575,29.88655504501169,0.0,233.35739977971838,35.767411197979634,7.044809180456468e-11
policy_rate,-8.744251375865806,0.8484557784197182,0.0,,,
term_spread_10y_2y,-37.01643015329419,2.5050602154267896,0.0,,,
move_eom,-0.04783503833088946,0.038948419045586845,0.21940410967679558,,,
mkt_ret,-65.25830107428416,15.083326777053296,1.5243107497342478e-05,,,
credit_level,0.365260996309954,2.238119442725243,0.8703631251324515,,,
credit_slope,-0.964594394731599,0.07932699965850033,0.0,,,
mkt_ret_x_leverage,-132.55794034506224,39.0130129031932,0.0006810370598195892,-126.90319983565958,41.27606334884735,0.0021122521845913234
credit_level_x_rollover,10.214542117364296,15.887756395164528,0.520286090125347,8.56542452640415,14.855813913963118,0.5642380277779975
