,n_obs,n_firms,n_time,model_base,dep_var,rhs_vars,rhs_vars_requested,rhs_vars_estimated,time_fe,firm_fe,battery
M6_baseline,15706,170,109,M6,oas_mean,leverage | log_assets | cash_to_assets | current_ratio | interest_coverage | residual_maturity_mean | rollover_12m | ivol_252 | policy_rate | term_spread_10y_2y | move_eom | mkt_ret | credit_level | credit_slope | mkt_ret_x_leverage | credit_level_x_rollover,leverage | log_assets | cash_to_assets | current_ratio | interest_coverage | residual_maturity_mean | rollover_12m | ivol_252 | policy_rate | term_spread_10y_2y | move_eom | mkt_ret | credit_level | credit_slope | mkt_ret_x_leverage | credit_level_x_rollover,leverage | log_assets | cash_to_assets | current_ratio | interest_coverage | residual_maturity_mean | rollover_12m | ivol_252 | policy_rate | term_spread_10y_2y | move_eom | mkt_ret | credit_level | credit_slope | mkt_ret_x_leverage | credit_level_x_rollover,False,True,m6_time_fe_compare
M6_time_fe,15706,170,109,M6,oas_mean,leverage | log_assets | cash_to_assets | current_ratio | interest_coverage | residual_maturity_mean | rollover_12m | ivol_252 | mkt_ret_x_leverage | credit_level_x_rollover,leverage | log_assets | cash_to_assets | current_ratio | interest_coverage | residual_maturity_mean | rollover_12m | ivol_252 | policy_rate | term_spread_10y_2y | move_eom | mkt_ret | credit_level | credit_slope | mkt_ret_x_leverage | credit_level_x_rollover,leverage | log_assets | cash_to_assets | current_ratio | interest_coverage | residual_maturity_mean | rollover_12m | ivol_252 | mkt_ret_x_leverage | credit_level_x_rollover,True,True,m6_time_fe_compare
