variable,M0,M1,M2,M3,M4,M5,M6,M4_shock,M5_shock,M6_shock,M4_lag,M5_lag,M6_lag,M4_level,M5_level,M6_level
credit_tightening_shock_l1_x_rollover,,,,,,,,,,,,22.9591*,21.3142,,,
,,,,,,,,,,,,(13.6145),(13.9488),,,
credit_tightening_shock_l1_x_market_power,,,,,,,,,,,,-4.7823,,,,
,,,,,,,,,,,,(16.7403),,,,
credit_market_level_log,,,,,,,,,,,,,,-29.5438***,-5.1410,-22.4233***
,,,,,,,,,,,,,,(3.3302),(4.8148),(5.3585)
credit_curve_level,,,,,,,,,,,,,,8.3856***,-19.9683***,7.0776***
,,,,,,,,,,,,,,(2.0255),(4.2644),(2.0519)
credit_curve_change,,,,,,,,,,,,,,-2.8211***,9.3063***,-2.3804**
,,,,,,,,,,,,,,(1.0476),(2.1089),(1.0540)
credit_market_level_log_x_rollover,,,,,,,,,,,,,,,-70.2314,-61.9287
,,,,,,,,,,,,,,,(44.2460),(48.0475)
credit_market_level_log_x_market_power,,,,,,,,,,,,,,,11.0058***,
,,,,,,,,,,,,,,,(2.2352),
Observaciones,15706,15706,15706,13969,15706,13969,15706,15706,13969,15706,15706,13969,15706,15706,13969,15706
Firmas,170,170,170,168,170,168,170,170,168,170,170,168,170,170,168,170
Periodos,109,109,109,108,109,108,109,109,108,109,109,108,109,109,108,109
