model,term,label,coef,se,ci_low,ci_high
M2,mkt_ret,Shock de mercado,-111.14719744807987,5.595110245545289,-122.11361352934863,-100.1807813668111
M3,mkt_ret,Shock de mercado,-77.60938935669101,17.119893047065712,-111.1643797289398,-44.054398984442216
M3,mkt_ret_x_leverage,Shock mercado × leverage,-128.6051960082941,40.03475510254501,-207.0733160092823,-50.137076007305865
M3,mkt_ret_x_market_power,Shock mercado × market power,194.22650056242372,73.65772460230842,49.85736034189921,338.59564078294824
M6,mkt_ret,Shock de mercado,-65.25830107428416,15.083326777053296,-94.82162155730862,-35.69498059125971
M6,mkt_ret_x_leverage,Shock mercado × leverage,-132.55794034506224,39.0130129031932,-209.0234456353209,-56.09243505480356
