market_share_industry_group,marginal_effect,se,ci_low,ci_high
0.005705368466812419,-0.7650125560496284,0.16964224049399945,-1.0975113474178673,-0.43251376468138947
0.008994675546663295,-0.758623850015682,0.1687857958666975,-1.0894440099144092,-0.4278036901169549
0.012283982626514173,-0.7522351439817355,0.16795993632765707,-1.0814366191839435,-0.42303366877952764
0.015573289706365049,-0.7458464379477892,0.16716511518355837,-1.0734900637075635,-0.41820281218801475
0.018862596786215925,-0.7394577319138428,0.1664017772013859,-1.065605215228559,-0.4133102485991264
0.022151903866066802,-0.7330690258798963,0.16567035756444962,-1.0577829267062175,-0.408355125053575
0.025441210945917676,-0.7266803198459499,0.16497128081454396,-1.0500240302424562,-0.4033366094494438
0.02873051802576855,-0.7202916138120036,0.16430495978501453,-1.042329334990632,-0.39825389263337513
0.03201982510561943,-0.7139029077780571,0.1636717945298608,-1.034699625056584,-0.3931061904995299
0.035309132185470306,-0.7075142017441107,0.1630721712543262,-1.02713565740259,-0.38789274608563135
0.03859843926532118,-0.7011254957101644,0.16250646125271823,-1.019638159765492,-0.3826128316548366
0.041887746345172054,-0.694736789676218,0.16197501985944537,-1.0122078286007308,-0.37726575075170504
0.045177053425022935,-0.6883480836422714,0.16147818541945488,-1.0048453270644029,-0.37185084022013987
0.04846636050487381,-0.681959377608325,0.16101627828439447,-0.9975512830457381,-0.3663674721709119
0.051755667584724684,-0.6755706715743787,0.16058959984090151,-0.9903262872625458,-0.3608150558862117
0.055044974664575565,-0.6691819655404322,0.16019843157743396,-0.9831708914322027,-0.35519303964866167
0.05833428174442644,-0.6627932595064858,0.15984303419600215,-0.9760856065306501,-0.3495009124823216
0.06162358882427731,-0.6564045534725395,0.15952364677502964,-0.9690709011515974,-0.3437382057934814
0.0649128959041282,-0.650015847438593,0.1592404859893681,-0.9621271999777545,-0.33790449489943153
0.06820220298397907,-0.6436271414046466,0.15899374539321176,-0.9552548823753416,-0.3319994004339516
0.07149151006382995,-0.6372384353707002,0.15878359477130613,-0.9484542811224603,-0.32602258961894026
0.07478081714368083,-0.6308497293367539,0.1586101795634217,-0.9417256812810604,-0.3199737773924473
0.0780701242235317,-0.6244610233028074,0.1584736203665739,-0.9350693192212921,-0.31385272738432257
0.08135943130338258,-0.618072317268861,0.15837401251891892,-0.9284853818059421,-0.30765925273177996
0.08464873838323346,-0.6116836112349145,0.1583114257686475,-0.9219740057414637,-0.30139321672836544
0.08793804546308433,-0.6052949052009682,0.15828590403054502,-0.9155352771008365,-0.2950545333011
0.09122735254293521,-0.5989061991670218,0.15829746523219318,-0.9091692310221204,-0.28864316731192313
