variable,M0_coef,M0_se_dk,M0_t_dk,M0_p_dk,M1_coef,M1_se_dk,M1_t_dk,M1_p_dk,M2_coef,M2_se_dk,M2_t_dk,M2_p_dk,M3_coef,M3_se_dk,M3_t_dk,M3_p_dk,M4_coef,M4_se_dk,M4_t_dk,M4_p_dk,M5_coef,M5_se_dk,M5_t_dk,M5_p_dk,M6_coef,M6_se_dk,M6_t_dk,M6_p_dk
leverage,28.962714732576252,17.885776969579506,1.6193154360493607,0.10539986117737277,26.0870022648225,18.623083783774657,1.400788535760698,0.1612973045916266,25.17895984886862,18.601505092045556,1.3535979870594308,0.17588437664000622,31.143569976360713,19.881003984322152,1.566498854933083,0.11725482660653919,26.23569671831439,18.69117732526921,1.403640672909646,0.1604458810149232,30.709147670433712,20.247687557151583,1.5166743157090594,0.1293718606874541,26.71574463889098,18.4266930199588,1.4498393504441585,0.1471235301600764
log_assets,12.81283159387086,1.8217267951864062,7.033344202723768,2.1012080964055713e-12,-0.7479138528960396,3.843798677319735,-0.19457674963808377,0.8457268522213024,0.5918738335046853,3.919655237103342,0.1510015033725479,0.8799764919563362,-3.6973066744061103,3.713004676469204,-0.9957721566680003,0.31937833759300105,-0.6595361274870875,3.8147916875662027,-0.17288915922637565,0.8627408070987468,-5.31832597625933,3.528822023031016,-1.5071108549960965,0.1318051581625852,0.5791351187573129,3.8859065202161767,0.14903475308641628,0.8815281465647447
cash_to_assets,-45.620793095675275,17.710847258958793,-2.575867344381202,0.010008121891789123,-95.40408795165311,28.787273819844525,-3.3141063842553318,0.0009214694539156909,-92.15915219703014,27.395350834034677,-3.3640435107162783,0.0007699527616902291,-104.7082485259367,29.493638899260525,-3.550197684442457,0.00038622397894827465,-95.54303398520143,28.7517103727406,-3.3230382730825454,0.0008924856781542534,-109.16595282089897,31.023064741956578,-3.518864229853457,0.0004347948766219023,-91.98193240756447,27.2680191323966,-3.3732531857542427,0.0007446722974095987
current_ratio,5.535843450377131,1.9299604718425567,2.8683714154476925,0.004131507219167219,7.401312741590659,2.14303951558589,3.4536520151693044,0.000554526017840784,7.095245199412883,2.096841713523227,3.3837772081952084,0.0007167278017590206,7.635135142961309,2.3588263515191166,3.236836462355178,0.001211481416669935,7.392217283411715,2.1475917942512006,3.4420960739371584,0.0005787462960111789,8.072535240448358,2.434074416424316,3.316470189233987,0.00091397927393011,7.060510360556747,2.088448025184715,3.380745067827232,0.0007246777968696883
interest_coverage,0.009398350740260427,0.012834805720448955,0.7322550060330542,0.4640240656016632,0.02683849794475683,0.022820990615937092,1.1760443881000548,0.23959517196139668,0.025546049285490178,0.02267515724644582,1.1266095757503225,0.2599250031895921,0.015976489371122775,0.024316760284999066,0.6570155392360644,0.5111818918205833,0.026338459843854252,0.02293084502502885,1.148603979273595,0.2507370142078531,0.01662894223392516,0.024125649931839792,0.6892640107481266,0.49066874194651344,0.025379474724275725,0.02263767978235326,1.1211164292579037,0.26225565272961937
residual_maturity_mean,4.019727633370295,0.2385901270264408,16.847837265809517,0.0,6.7356999757412295,0.9715126971410509,6.933208382724096,4.276135001646253e-12,6.564938538037707,0.9735905687941395,6.743017802821207,1.6060486274227515e-11,7.712390472424139,0.9584296675840014,8.046902900935283,8.881784197001252e-16,6.715348213474371,0.9680620619042573,6.936898446639601,4.1664449668132875e-12,7.951737596157539,0.9411484946713327,8.448972336649637,0.0,6.561757807730209,0.9707084004714236,6.759762050625603,1.4314549545701993e-11
rollover_12m,-2.8414739825848447,9.089692913429527,-0.31260395809265695,0.754585797876528,24.789911287928717,10.887202472899673,2.276977152729137,0.022801133516514138,21.30933634069789,10.33874909407856,2.061113597669437,0.0393088197295004,22.638894397449114,10.807306436464215,2.094776763344539,0.03620904470342334,24.90761409671942,10.888141933154706,2.2875908717606825,0.022174744786934708,26.50091088096293,11.274742209461666,2.3504671227625584,0.018763877159190034,21.409499228963192,10.344069159269285,2.069736667390532,0.03849351739516593
ivol_252,233.6086348961823,27.35351074165082,8.540352903968177,0.0,249.56999722306247,55.89880783679623,4.4646747735965,8.075562913933965e-06,257.20512614147276,56.706763180406625,4.535704591764506,5.784140765463519e-06,258.34273384570895,60.233344806471315,4.289031842341807,1.806753845223774e-05,248.82660934783434,56.1877525205226,4.428484824285333,9.55457482709754e-06,249.09234055678064,59.465505162080255,4.188854359814989,2.8211051731119596e-05,257.11680006949575,57.015146082202776,4.509622753553805,6.5418794985561135e-06
policy_rate,,,,,-9.190326787360076,3.557607919995074,-2.5832882639222374,0.00979540868475759,-8.733087966067641,3.501597864848545,-2.4940293840524643,0.012640529264971168,-10.682951905466208,3.701325093069559,-2.8862506364191565,0.00390466730235306,-9.215568520289697,3.5327881645261168,-2.608582256028323,0.00910052801637451,-11.263668027605716,3.754711004697743,-2.9998761591805785,0.0027057195986068816,-8.744251375865806,3.483031601109194,-2.51052886602612,0.012065131774440019
term_spread_10y_2y,,,,,-35.39460868003401,10.099095351180205,-3.504730616876264,0.00045835759445633784,-37.00540662808418,10.360109913482464,-3.5719125508433067,0.00035545598898312214,-44.1667047341475,10.54080271069323,-4.190070333954939,2.806047397285738e-05,-35.31069615724372,10.11714319441067,-3.490184479819512,0.00048402671262315344,-42.812993740618516,10.433594758152449,-4.103379011070555,4.0950127339511866e-05,-37.01643015329419,10.419695672741538,-3.5525442696115475,0.00038265621497068913
move_eom,,,,,0.04449120152236654,0.12634431419774297,0.3521424909769413,0.7247361832063897,-0.0482011173048677,0.1359663616060172,-0.3545076645099736,0.7229632763606695,0.009356528699886303,0.13046457403025447,0.07171700647040431,0.9428281620609686,0.043480627822752575,0.1267615816320268,0.34301108634768745,0.7315947646901713,0.10712216820134458,0.11823571874838,0.9060051339419147,0.3649489691951755,-0.04783503833088946,0.1360373963026414,-0.3516315339090378,0.7251193866918846
mkt_ret,,,,,,,,,-111.14719744807987,53.487775655660315,-2.077992514843301,0.03772644082305421,-77.60938935669101,70.12511439967724,-1.1067274545087689,0.2684310911036254,,,,,,,,,-65.25830107428416,70.05378940704972,-0.9315456255349553,0.35158588516600586
mkt_ret_x_leverage,,,,,,,,,,,,,-128.6051960082941,66.98215725130345,-1.919991849856276,0.05487953854378036,,,,,,,,,-132.55794034506224,66.11920319471716,-2.00483269519578,0.044998271446662796
mkt_ret_x_market_power,,,,,,,,,,,,,194.22650056242372,124.17267819667643,1.5641645439489469,0.11780188263416225,,,,,,,,,,,,
credit_level,,,,,,,,,,,,,,,,,-6.436177715181539,12.422685391689786,-0.5180987453394779,0.6043967595606554,-8.235508024859397,10.56732653524647,-0.7793369493590002,0.43579463224593207,0.365260996309954,12.50722022379915,0.02920401094520774,0.9767022578299482
credit_slope,,,,,,,,,,,,,,,,,-1.1047197186174753,1.6858932469811945,-0.6552726399465779,0.5123019432783165,0.8076424199871999,5.582008465298804,0.1446867064082761,0.8849603504958621,-0.964594394731599,1.5590588523909519,-0.6187030035795698,0.536121111260881
credit_level_x_rollover,,,,,,,,,,,,,,,,,,,,,5.446557759598283,25.79147989391244,0.21117662817339278,0.8327525689089734,10.214542117364296,22.05032527438238,0.4632377069390148,0.6432004867292476
credit_level_x_market_power,,,,,,,,,,,,,,,,,,,,,15.781942294242462,49.61921034051288,0.31806113370080963,0.7504433823253374,,,,
